#,Airport,Departures,Arrivals,Total,Departure,Average,Arrival,Average
,,,,Operations,Seats,Departure,Seats,Arrival
,,,,,,Seats,,Seats
104,GYY - Gary,1214 ,1233 ,2447 ,47528 ,39 ,46916 ,38 
105,HLN - Helena,1727 ,1735 ,3462 ,97080 ,56 ,97003 ,55 
106,HNL - Honolulu,92171 ,88436 ,180607 ,12455469 ,135 ,12398838 ,140 
107,HOU - Houston,66916 ,66927 ,133843 ,8352961 ,124 ,8351119 ,124 
108,HPN - White Plains,19764 ,19846 ,39610 ,900577 ,45 ,904393 ,45 
109,HSV - Huntsville,7784 ,7617 ,15401 ,595255 ,76 ,594386 ,78 
110,IAD - Washington,75319 ,75365 ,150684 ,11864728 ,157 ,11879499 ,157 
111,IAH - Houston,186164 ,186273 ,372437 ,23505765 ,126 ,23521270 ,126 
112,ICT - Wichita,12995 ,13017 ,26012 ,937531 ,72 ,937371 ,72 
113,IDA - Idaho Falls,2473 ,2477 ,4950 ,168303 ,68 ,168130 ,67 
114,ILM - Wilmington,6954 ,6945 ,13899 ,413051 ,59 ,412749 ,59 
115,IND - Indianapolis,56011 ,52215 ,108226 ,5441125 ,97 ,5419471 ,103 
116,ISP - New York,7334 ,7287 ,14621 ,885131 ,120 ,883574 ,121 
117,ITO - Hilo,8491 ,8604 ,17095 ,750919 ,88 ,753025 ,87 
118,JAC - Jackson,6334 ,6331 ,12665 ,572152 ,90 ,572440 ,90 
119,JAN - Jackson,5046 ,5046 ,10092 ,450634 ,89 ,451389 ,89 
120,JAX - Jacksonville,32930 ,32881 ,65811 ,3903533 ,118 ,3902035 ,118 
121,JFK - New York,195971 ,196051 ,392022 ,37738236 ,192 ,37789062 ,192 
122,JNU - Juneau,6468 ,6401 ,12869 ,800681 ,123 ,806059 ,125 
123,KTN - Ketchikan,4672 ,4915 ,9587 ,415439 ,88 ,414716 ,84 
124,LAN - Lansing,4502 ,4439 ,8941 ,177553 ,39 ,177847 ,40 
125,LAS - Las Vegas,198261 ,198359 ,396620 ,28220793 ,142 ,28220364 ,142 
126,LAW - Lawton,1381 ,1376 ,2757 ,74550 ,53 ,74466 ,54 
127,LAX - Los Angeles,324180 ,323488 ,647668 ,52347590 ,161 ,52160555 ,161 
128,LBB - Lubbock,8009 ,7851 ,15860 ,530076 ,66 ,531957 ,67 
129,LCH - Lake Charles,2137 ,2145 ,4282 ,88018 ,41 ,88220 ,41 
130,LEX - Lexington,8880 ,8875 ,17755 ,588908 ,66 ,588880 ,66 
131,LFT - Lafayette,3604 ,3604 ,7208 ,207535 ,57 ,207703 ,57 
132,LGA - New York,152449 ,152388 ,304837 ,17154074 ,112 ,17149716 ,112 
133,LGB - Long Beach,16519 ,16384 ,32903 ,2168314 ,131 ,2167624 ,132 
134,LIT - Little Rock,14603 ,14582 ,29185 ,1212169 ,83 ,1211838 ,83 
135,LNK - Lincoln,4550 ,4548 ,9098 ,144899 ,31 ,144701 ,31 
136,LRD - Laredo,6658 ,6672 ,13330 ,389655 ,58 ,383661 ,57 
137,LSE - La Crosse,2788 ,2794 ,5582 ,137663 ,49 ,137662 ,49 
138,MAF - Midland,7779 ,7777 ,15556 ,742834 ,95 ,743140 ,95 
139,MBS - Saginaw,2765 ,2757 ,5522 ,140248 ,50 ,140051 ,50 
140,MCI - Kansas City,53806 ,53790 ,107596 ,6778115 ,125 ,6778895 ,126 
141,MCO - Orlando,170449 ,170497 ,340946 ,27109367 ,159 ,27106661 ,158 
142,MDT - Harrisburg,10736 ,10748 ,21484 ,766922 ,71 ,767126 ,71 
143,MDW - Chicago,92441 ,92444 ,184885 ,11598639 ,125 ,11602096 ,125 
144,MEM - Memphis,28540 ,28641 ,57181 ,2770459 ,97 ,2769342 ,96 
145,MFR - Medford,5867 ,5859 ,11726 ,450277 ,76 ,450127 ,76 
146,MGM - Montgomery,4553 ,4568 ,9121 ,213345 ,46 ,213585 ,46 
147,MHT - Manchester,11885 ,11899 ,23784 ,869084 ,73 ,868398 ,72 
148,MIA - Miami,187432 ,187334 ,374766 ,27774930 ,148 ,27744934 ,148 
149,MKE - Milwaukee,35999 ,36014 ,72013 ,3831896 ,106 ,3835255 ,106 
150,MKG - Muskegon,1002 ,1002 ,2004 ,39309 ,39 ,39365 ,39 
151,MLU - Monroe,3341 ,3523 ,6864 ,147683 ,44 ,147755 ,41 
152,MOB - Mobile,4666 ,4660 ,9326 ,264895 ,56 ,265127 ,56 
153,MOT - Minot,3743 ,3747 ,7490 ,175951 ,47 ,176068 ,46 
154,MSN - Madison,14027 ,14056 ,28083 ,1242663 ,88 ,1245466 ,88 
155,MSO - Missoula,4103 ,4099 ,8202 ,393004 ,95 ,392828 ,95 
